Year,BOB_VF,BOB_ACE,BOB_PDI,AS_VF,AS_ACE,AS_PDI,NIO_VF,NIO_ACE,NIO_PDI
1982,328.83,17533,1990.39,217.23,8609,963.92,380.97,26143,2740.62
1983,276.22,14337,1784.0,172.59,4342,610.74,335.0,18679,2167.28
1984,341.19,19993,2113.06,183.58,9231,1183.76,434.23,29224,3081.0
1985,371.26,25591,2795.8,144.63,5056,713.81,450.41,30647,3255.06
1986,342.27,18561,2073.23,179.47,5664,760.22,411.21,24225,2702.79
1987,258.78,13537,1598.06,164.17,5281,665.79,336.27,18818,2178.39
1988,320.37,22233,2601.11,167.89,6709,909.29,450.95,28942,3161.19
1989,282.77,18237,2149.36,216.5,9624,1320.73,420.32,27861,2991.82
1990,420.13,27302,3146.61,120.29,5134,657.99,468.59,32436,3371.26
1991,359.61,16977,1954.28,156.67,5766,820.54,388.82,22743,2519.18
1992,393.69,24549,2600.85,157.95,5888,787.51,389.45,30437,3071.16
1993,308.92,17165,1965.77,213.51,8587,1100.05,388.58,25752,2684.66
1994,281.5,13751,1666.42,130.89,4649,620.51,313.67,18400,2025.26
1995,198.22,6546,883.85,97.68,2204,341.46,198.0,8750,1087.64
1996,269.2,12902,1475.13,113.41,2502,412.0,286.53,15405,1835.07
1997,256.5,13236,1601.16,135.12,4081,603.37,351.88,17317,1948.58
1998,435.51,25040,2771.69,217.17,8585,1198.69,435.58,33625,3480.79
1999,222.92,9109,1306.2,128.34,3841,589.65,284.45,12950,1625.57
2000,300.45,12661,1678.93,149.41,5014,713.81,275.34,17676,2016.38
2001,253.3,11727,1376.69,113.23,3823,603.03,286.74,15550,1868.29
2002,266.03,16307,1875.85,170.71,5796,807.3,368.57,22102,2395.56
2003,286.97,19018,2010.25,223.4,10047,1313.15,448.91,29064,3091.31
2004,746.56,56768,5332.6,345.51,12864,1532.68,765.53,69632,6350.4
2005,783.72,60919,5926.67,320.15,12545,1528.0,795.45,73465,6771.68
2006,708.94,69246,6898.11,488.46,32879,3333.79,886.0,102125,9279.93
2007,1007.14,128734,10618.95,463.18,40473,4325.49,1188.3,169207,13183.07
2008,234.71,8480,1056.04,111.03,4145,559.06,277.85,12625,1551.1
2009,187.01,8864,1011.91,114.19,2436,392.89,239.55,11300,1403.37
2010,231.09,12126,1467.56,155.84,5044,695.27,280.77,17170,1953.07
2011,326.07,16595,1829.18,152.67,4630,690.86,322.91,21225,2277.87
2012,439.05,32329,3314.89,149.43,8316,1114.04,485.81,40645,4145.36
2013,335.95,19368,2106.33,164.33,4730,725.14,398.45,24098,2610.36
2014,312.9,17668,2027.86,221.23,8642,1149.9,408.54,26310,2878.02
2015,383.11,22791,2307.38,117.66,4563,593.94,436.32,27354,2956.08
2016,503.66,30515,3004.14,249.57,13326,1597.72,529.99,43841,4623.27
2017,497.98,36736,4199.83,346.92,19138,2052.81,642.75,55873,5382.25
2018,509.68,34934,3402.82,240.91,10973,1323.9,592.36,45908,4446.61
2019,354.9,31083,3112.55,239.2,11838,1559.19,528.4,42921,4355.8
2020,512.3,39416,4399.97,207.4,8890,1172.68,602.88,48306,4822.01
2021,569.5,54015,6032.69,249.1,12535,1468.65,667.58,66550,6546.41
2022,565.08,57174,5204.4,380.82,22966,2417.12,765.16,80139,7550.67
2023,628.56,64077,5978.52,310.21,12152,1484.72,741.39,76229,7135.05
